date,code,name,market_cap,price,open_price,high_price,low_price,gap,gap_ratio,trading_volume,institutional_volume,foreign_volume,foreign_ratio,forum_url
2022-03-03,348370,엔켐,14224,93500,88000,94000,87400,6800,7.84,259054,-3172,-4716,1.28,https://finance.naver.com/item/board.naver?code=348370
2022-03-03,56190,에스에프에이,14202,39550,38550,39600,38550,1200,3.13,149706,51090,-10923,15.57,https://finance.naver.com/item/board.naver?code=056190
2022-03-03,298380,에이비엘바이오,14188,30050,25650,30500,25400,4650,18.31,5283733,12949,-145034,3.48,https://finance.naver.com/item/board.naver?code=298380
2022-03-03,48410,현대바이오,14117,36500,32600,36500,32200,3950,12.14,7411813,-2949,140209,5.25,https://finance.naver.com/item/board.naver?code=048410
2022-03-03,64760,티씨케이,13987,119800,119300,122200,118000,900,0.76,35010,1734,-1176,68.24,https://finance.naver.com/item/board.naver?code=064760
2022-03-03,36930,주성엔지니어링,13293,27550,27300,28400,26750,0,0.0,1380764,15448,70525,12.7,https://finance.naver.com/item/board.naver?code=036930
2022-03-03,98460,고영,13182,19200,18650,19400,18550,650,3.5,281953,-3628,-149243,64.62,https://finance.naver.com/item/board.naver?code=098460
2022-03-03,195940,HK이노엔,12747,44100,43900,44100,43250,750,1.73,104794,-7641,21127,3.2,https://finance.naver.com/item/board.naver?code=195940
2022-03-03,32500,케이엠더블유,12743,32000,31650,32250,31600,600,1.91,107371,-7247,9670,3.83,https://finance.naver.com/item/board.naver?code=032500
2022-03-03,39030,이오테크닉스,12517,101600,102000,103500,100900,100,0.1,61446,12027,-5958,15.97,https://finance.naver.com/item/board.naver?code=039030
2022-03-03,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.25,https://finance.naver.com/item/board.naver?code=215600
2022-03-03,95700,제넥신,12064,48200,47000,48250,46900,1300,2.77,100574,-3171,10539,8.74,https://finance.naver.com/item/board.naver?code=095700
2022-03-03,122870,와이지엔터테인먼트,11935,64700,66400,67000,63900,1500,-2.27,422319,39207,22604,6.9,https://finance.naver.com/item/board.naver?code=122870
2022-03-03,214150,클래시스,11854,18300,18850,19000,18100,450,-2.4,533079,-679,-19290,5.09,https://finance.naver.com/item/board.naver?code=214150
2022-03-03,30190,NICE평가정보,11657,19200,18850,19200,18800,350,1.86,72048,-3707,20203,38.44,https://finance.naver.com/item/board.naver?code=030190
2022-03-03,141080,레고켐바이오,11269,46500,44800,46700,44250,2200,4.97,243198,2829,1028,8.3,https://finance.naver.com/item/board.naver?code=141080
2022-03-03,144510,지씨셀,11202,70900,68800,71000,68800,2800,4.11,79971,-8278,5669,7.31,https://finance.naver.com/item/board.naver?code=144510
2022-03-03,36540,SFA반도체,11101,6750,6610,6750,6600,220,3.37,1171321,-32432,-78151,4.92,https://finance.naver.com/item/board.naver?code=036540
2022-03-14,91990,셀트리온헬스케어,108542,70000,72200,74200,69700,3400,5.11,2307673,93202,-176117,16.79,https://finance.naver.com/item/board.naver?code=091990
2022-03-14,247540,에코프로비엠,73892,322400,334600,334900,314400,19500,-5.7,437754,-9861,-89178,13.2,https://finance.naver.com/item/board.naver?code=247540
2022-03-14,263750,펄어비스,64897,98000,98700,99500,97300,500,-0.51,360251,-1579,8660,13.26,https://finance.naver.com/item/board.naver?code=263750
2022-03-14,66970,엘앤에프,59526,171000,182900,185000,169500,16000,-8.56,1076834,-119397,-189360,19.65,https://finance.naver.com/item/board.naver?code=066970
2022-03-14,293490,카카오게임즈,57025,73200,74800,75600,72300,1600,-2.14,598501,-71795,-14192,11.03,https://finance.naver.com/item/board.naver?code=293490
2022-03-14,68760,셀트리온제약,36297,99300,100000,109000,97500,5700,6.09,1133008,-14387,-32476,7.67,https://finance.naver.com/item/board.naver?code=068760
2022-03-14,112040,위메이드,32868,97900,103700,103700,97200,5800,-5.59,589705,-17302,-153032,6.58,https://finance.naver.com/item/board.naver?code=112040
2022-03-14,28300,HLB,30810,28900,30200,30350,28900,1200,-3.99,538072,-64410,-195762,13.85,https://finance.naver.com/item/board.naver?code=028300
2022-03-14,58470,리노공업,27573,180900,185600,188400,180400,6500,-3.47,44968,-1847,-5033,48.08,https://finance.naver.com/item/board.naver?code=058470
2022-03-14,253450,스튜디오드래곤,27283,90900,91200,92200,90100,100,0.11,124002,-15524,69040,10.58,https://finance.naver.com/item/board.naver?code=253450
2022-03-14,35760,CJ ENM,26951,122900,125600,127000,121900,2800,-2.23,75312,-16201,315,21.51,https://finance.naver.com/item/board.naver?code=035760
2022-03-14,278280,천보,26740,267400,290300,290400,262200,22900,-7.89,186066,-6844,-76056,10.24,https://finance.naver.com/item/board.naver?code=278280
2022-03-14,96530,씨젠,25643,49100,51600,51600,48800,2600,-5.03,788711,-48183,-71259,15.46,https://finance.naver.com/item/board.naver?code=096530
2022-03-14,196170,알테오젠,23442,55400,56700,57800,55300,1600,-2.81,225325,-24003,9723,11.82,https://finance.naver.com/item/board.naver?code=196170
2022-03-14,86520,에코프로,20523,85600,87900,87900,83300,4000,-4.46,585311,-16084,12351,8.43,https://finance.naver.com/item/board.naver?code=086520
2022-03-14,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,44.16,https://finance.naver.com/item/board.naver?code=048260
2022-03-14,108320,LX세미콘,19533,120100,120000,121900,118100,1100,-0.91,136404,-6276,15606,34.37,https://finance.naver.com/item/board.naver?code=108320
2022-03-14,41510,에스엠,19013,80000,80600,83000,78800,100,0.13,816019,-46600,84353,14.88,https://finance.naver.com/item/board.naver?code=041510
2022-03-14,35900,JYP Ent.,18743,52800,53500,54200,52100,500,-0.94,469191,-24440,75103,23.66,https://finance.naver.com/item/board.naver?code=035900
2022-03-14,67160,아프리카TV,17943,156100,158800,159000,154000,900,-0.57,154777,41996,-62787,43.3,https://finance.naver.com/item/board.naver?code=067160
2022-03-14,237690,에스티팜,17680,94000,100000,100000,93000,5600,-5.62,129508,-28526,-42219,0.18,https://finance.naver.com/item/board.naver?code=237690
2022-03-14,240810,원익IPS,17228,35100,35800,35850,34900,750,-2.09,175266,-22858,-17569,19.1,https://finance.naver.com/item/board.naver?code=240810
2022-03-14,145020,휴젤,16596,134000,140300,141400,133400,6700,-4.76,73256,-10126,-35252,70.19,https://finance.naver.com/item/board.naver?code=145020
2022-03-14,5290,동진쎄미켐,16401,31900,33200,33300,31600,1500,-4.49,877433,-12088,92793,7.33,https://finance.naver.com/item/board.naver?code=005290
2022-03-14,357780,솔브레인,16156,207700,215600,217200,207700,7900,-3.66,19012,-5300,531,27.51,https://finance.naver.com/item/board.naver?code=357780
2022-03-14,222800,심텍,15624,49050,49550,50200,47800,1050,-2.1,719698,-75778,91239,14.26,https://finance.naver.com/item/board.naver?code=222800
2022-03-14,299900,위지윅스튜디오,15298,35800,37300,37300,35400,1100,-2.98,230211,-7199,-886,4.71,https://finance.naver.com/item/board.naver?code=299900
2022-03-14,34230,파라다이스,15233,16750,17200,17450,16650,450,-2.62,1029634,-90601,-102857,4.96,https://finance.naver.com/item/board.naver?code=034230
2022-03-14,78340,컴투스,14603,113500,118000,120800,113300,1100,-0.96,283634,8080,-91359,12.31,https://finance.naver.com/item/board.naver?code=078340
2022-03-14,56190,에스에프에이,13915,38750,39500,40100,38600,1150,-2.88,132234,6430,10057,15.2,https://finance.naver.com/item/board.naver?code=056190
2022-03-14,64760,티씨케이,13508,115700,116700,117200,113700,900,-0.77,17862,-5262,3291,68.17,https://finance.naver.com/item/board.naver?code=064760
2022-03-14,214150,클래시스,13376,20650,20700,20900,19900,50,-0.24,780642,25534,-79360,4.85,https://finance.naver.com/item/board.naver?code=214150
2022-03-14,25900,동화기업,13010,64400,69100,69200,63900,5800,-8.26,242113,-44335,-65171,43.61,https://finance.naver.com/item/board.naver?code=025900
2022-03-14,298380,에이비엘바이오,13008,27550,28300,28850,27450,750,-2.65,629887,-51284,-91319,3.95,https://finance.naver.com/item/board.naver?code=298380
2022-03-14,195940,HK이노엔,12819,44350,45300,45650,44150,250,-0.56,172165,-8635,10231,3.29,https://finance.naver.com/item/board.naver?code=195940
2022-03-14,78600,대주전자재료,12617,81500,88200,88700,81100,7700,-8.63,354913,-39447,-103611,13.18,https://finance.naver.com/item/board.naver?code=078600
2022-03-14,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.25,https://finance.naver.com/item/board.naver?code=215600
2022-03-14,122870,와이지엔터테인먼트,12396,67200,68100,69000,66600,1100,-1.61,282986,2519,19044,7.67,https://finance.naver.com/item/board.naver?code=122870
2022-03-14,32500,케이엠더블유,12066,30300,31100,31200,30250,950,-3.04,117081,-17900,-15582,3.76,https://finance.naver.com/item/board.naver?code=032500
2022-03-14,348370,엔켐,12034,79100,84900,84900,78900,6100,-7.16,283002,-78653,2927,1.33,https://finance.naver.com/item/board.naver?code=348370
2022-03-14,98460,고영,12015,17500,17850,18150,17200,500,-2.78,215674,-33402,-24730,64.0,https://finance.naver.com/item/board.naver?code=098460
2022-03-14,141080,레고켐바이오,11875,49000,48000,49700,47500,900,1.87,253104,41955,-25110,8.16,https://finance.naver.com/item/board.naver?code=141080
2022-03-14,140410,메지온,11660,131000,165700,167900,119000,37000,-22.02,629154,-13176,-51931,14.61,https://finance.naver.com/item/board.naver?code=140410
2022-03-14,39030,이오테크닉스,11248,91300,93100,93500,90700,1700,-1.83,44446,-10137,-1978,15.61,https://finance.naver.com/item/board.naver?code=039030
2022-03-14,36930,주성엔지니어링,11194,23200,24000,24050,22750,950,-3.93,1665445,-130942,165902,14.05,https://finance.naver.com/item/board.naver?code=036930
2022-03-14,376300,디어유,11186,50900,54600,54800,50800,3500,-6.43,291341,-16456,-50287,1.1,https://finance.naver.com/item/board.naver?code=376300
2022-03-14,144510,지씨셀,11139,70500,73500,73700,70300,2800,-3.82,102937,-11737,-21667,7.26,https://finance.naver.com/item/board.naver?code=144510
2022-03-14,30190,NICE평가정보,11111,18300,18450,18850,18150,100,-0.54,109018,-17353,13896,38.2,https://finance.naver.com/item/board.naver?code=030190
2022-03-14,36540,SFA반도체,10789,6560,6620,6620,6500,80,-1.2,614948,-79223,38459,4.82,https://finance.naver.com/item/board.naver?code=036540
2022-03-14,48410,현대바이오,10694,27650,29250,29800,27200,1950,-6.59,1883331,-38053,-116898,3.36,https://finance.naver.com/item/board.naver?code=048410
2022-03-15,91990,셀트리온헬스케어,106061,68400,70500,70700,67500,1600,-2.29,857003,-63706,-214628,16.7,https://finance.naver.com/item/board.naver?code=091990
2022-03-15,247540,에코프로비엠,74832,326500,314200,328600,314200,4100,1.27,220639,10995,-1156,12.83,https://finance.naver.com/item/board.naver?code=247540
2022-03-15,263750,펄어비스,62579,94500,97200,98600,93400,3500,-3.57,609580,-25483,-26527,13.29,https://finance.naver.com/item/board.naver?code=263750
2022-03-15,66970,엘앤에프,58655,168500,168200,172300,165300,2500,-1.46,608111,18105,-95276,19.09,https://finance.naver.com/item/board.naver?code=066970
2022-03-15,293490,카카오게임즈,56947,73100,73100,74700,72500,100,-0.14,469021,-6323,17726,11.02,https://finance.naver.com/item/board.naver?code=293490
2022-03-15,68760,셀트리온제약,35456,97000,99600,100400,95900,2300,-2.32,218593,-887,-33986,7.6,https://finance.naver.com/item/board.naver?code=068760
2022-03-15,28300,HLB,33316,31250,29050,32450,28850,2350,8.13,1845741,6120,14796,13.67,https://finance.naver.com/item/board.naver?code=028300
2022-03-15,112040,위메이드,31626,94200,97800,98700,93200,3700,-3.78,519311,-45305,-28821,6.13,https://finance.naver.com/item/board.naver?code=112040
2022-03-15,253450,스튜디오드래곤,27643,92100,90900,92500,90100,1200,1.32,163640,61277,930,10.83,https://finance.naver.com/item/board.naver?code=253450
2022-03-15,278280,천보,27000,270000,266000,271000,260000,2600,0.97,61944,12353,-7402,9.48,https://finance.naver.com/item/board.naver?code=278280
2022-03-15,58470,리노공업,26933,176700,178400,180700,175600,4200,-2.32,47535,6964,-21384,48.06,https://finance.naver.com/item/board.naver?code=058470
2022-03-15,35760,CJ ENM,26666,121600,121800,122900,120200,1300,-1.06,62044,-4965,-8989,21.52,https://finance.naver.com/item/board.naver?code=035760
2022-03-15,96530,씨젠,25956,49700,49150,50800,49150,600,1.22,525844,-258,105687,15.37,https://finance.naver.com/item/board.naver?code=096530
2022-03-15,196170,알테오젠,24863,58300,55100,58800,54700,2900,5.23,260562,21195,41378,11.77,https://finance.naver.com/item/board.naver?code=196170
2022-03-15,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,44.17,https://finance.naver.com/item/board.naver?code=048260
2022-03-15,86520,에코프로,20379,85000,83900,87200,83400,600,-0.7,342749,-5478,-971,8.46,https://finance.naver.com/item/board.naver?code=086520
2022-03-15,108320,LX세미콘,19485,119800,119400,121400,118700,300,-0.25,129311,1187,355,34.57,https://finance.naver.com/item/board.naver?code=108320
2022-03-15,41510,에스엠,18965,79800,80800,82000,79100,200,-0.25,457391,-21074,27554,15.24,https://finance.naver.com/item/board.naver?code=041510
2022-03-15,35900,JYP Ent.,18814,53000,53500,54800,51600,200,0.38,571095,24115,-15204,23.88,https://finance.naver.com/item/board.naver?code=035900
2022-03-15,237690,에스티팜,18245,97000,93500,97600,93400,3000,3.19,53898,-1009,15994,0.0,https://finance.naver.com/item/board.naver?code=237690
2022-03-15,240810,원익IPS,17081,34800,34900,35100,34600,300,-0.85,147989,-26979,-8683,19.07,https://finance.naver.com/item/board.naver?code=240810
2022-03-15,67160,아프리카TV,16725,145500,155000,155100,144600,10600,-6.79,317532,41945,-135904,42.76,https://finance.naver.com/item/board.naver?code=067160
2022-03-15,357780,솔브레인,16514,212300,205300,214000,205300,4600,2.21,20049,-106,4295,27.5,https://finance.naver.com/item/board.naver?code=357780
2022-03-15,5290,동진쎄미켐,16170,31450,31650,31900,31100,450,-1.41,560477,-7441,77115,7.53,https://finance.naver.com/item/board.naver?code=005290
2022-03-15,145020,휴젤,16113,130100,135000,135200,130100,3900,-2.91,74417,-2957,-28395,69.91,https://finance.naver.com/item/board.naver?code=145020
2022-03-15,299900,위지윅스튜디오,15555,36400,35550,36850,35400,600,1.68,198620,442,49483,4.71,https://finance.naver.com/item/board.naver?code=299900
2022-03-15,222800,심텍,15386,48300,48550,49950,48300,750,-1.53,531455,12267,-45302,14.55,https://finance.naver.com/item/board.naver?code=222800
2022-03-15,34230,파라다이스,15096,16600,16650,17000,16400,150,-0.9,727936,-8570,-82610,4.87,https://finance.naver.com/item/board.naver?code=034230
2022-03-15,56190,에스에프에이,14148,39400,38750,39600,38600,650,1.68,80540,20430,-5742,15.28,https://finance.naver.com/item/board.naver?code=056190
2022-03-15,78340,컴투스,14102,109600,114000,116800,109000,3900,-3.44,183480,-5073,-51335,11.6,https://finance.naver.com/item/board.naver?code=078340
2022-03-15,214150,클래시스,13635,21050,20300,21900,20250,400,1.94,1278383,15199,155536,4.74,https://finance.naver.com/item/board.naver?code=214150
2022-03-15,64760,티씨케이,13566,116200,113700,117000,113400,500,0.43,16926,-938,3451,68.2,https://finance.naver.com/item/board.naver?code=064760
2022-03-15,298380,에이비엘바이오,13385,28350,27550,28950,27450,800,2.9,893094,-48820,85715,3.82,https://finance.naver.com/item/board.naver?code=298380
2022-03-15,25900,동화기업,12868,63700,63100,65100,63100,700,-1.09,53777,-323,-6959,43.27,https://finance.naver.com/item/board.naver?code=025900
2022-03-15,78600,대주전자재료,12570,81200,80700,82400,79300,300,-0.37,154754,5534,4134,12.51,https://finance.naver.com/item/board.naver?code=078600
2022-03-15,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.25,https://finance.naver.com/item/board.naver?code=215600
2022-03-15,122870,와이지엔터테인먼트,12433,67400,67200,68700,65700,200,0.3,215847,-6139,21097,7.78,https://finance.naver.com/item/board.naver?code=122870
2022-03-15,195940,HK이노엔,12429,43000,44500,44500,42700,1350,-3.04,143905,5922,-31151,3.36,https://finance.naver.com/item/board.naver?code=195940
2022-03-15,141080,레고켐바이오,12239,50500,49000,51400,48600,1500,3.06,380017,99806,14884,8.08,https://finance.naver.com/item/board.naver?code=141080
2022-03-15,32500,케이엠더블유,12165,30550,30250,31050,30150,250,0.83,96358,-8114,24905,3.8,https://finance.naver.com/item/board.naver?code=032500
2022-03-15,98460,고영,12118,17650,17300,17900,17200,150,0.86,165837,9077,-10541,63.96,https://finance.naver.com/item/board.naver?code=098460
2022-03-15,348370,엔켐,11805,77600,78400,80700,76600,1500,-1.9,158648,-19258,8068,1.35,https://finance.naver.com/item/board.naver?code=348370
2022-03-15,140410,메지온,11616,130500,129000,138000,118500,500,-0.38,257960,-6241,-14047,14.51,https://finance.naver.com/item/board.naver?code=140410
2022-03-15,376300,디어유,11406,51900,51400,53800,51400,1000,1.96,203463,398,-5880,0.88,https://finance.naver.com/item/board.naver?code=376300
2022-03-15,39030,이오테크닉스,11260,91400,91300,92000,90300,100,0.11,37022,-8001,-1466,15.66,https://finance.naver.com/item/board.naver?code=039030
2022-03-15,48410,현대바이오,11139,28800,27650,30400,27550,1150,4.16,3148733,-6922,-9537,3.08,https://finance.naver.com/item/board.naver?code=048410
2022-03-15,144510,지씨셀,11108,70300,70800,71100,69500,200,-0.28,58808,-8823,2852,7.13,https://finance.naver.com/item/board.naver?code=144510
2022-03-15,30190,NICE평가정보,10929,18000,18300,18400,18000,300,-1.64,62842,-15763,3815,38.21,https://finance.naver.com/item/board.naver?code=030190
2022-03-15,137400,피엔티,10916,48000,47000,48500,46400,1200,2.56,295572,18437,14525,6.21,https://finance.naver.com/item/board.naver?code=137400
2022-03-15,36930,주성엔지니어링,10880,22550,23100,23450,22550,650,-2.8,988296,-189526,-36315,14.39,https://finance.naver.com/item/board.naver?code=036930
2022-03-16,91990,셀트리온헬스케어,107457,69300,69500,69700,67700,900,1.32,510105,133854,-153626,16.59,https://finance.naver.com/item/board.naver?code=091990
2022-03-16,247540,에코프로비엠,77789,339400,335800,344400,333200,12900,3.95,228926,26587,-28571,12.83,https://finance.naver.com/item/board.naver?code=247540
2022-03-16,263750,펄어비스,65096,98300,95700,98300,95500,3800,4.02,346614,37038,18118,13.23,https://finance.naver.com/item/board.naver?code=263750
2022-03-16,66970,엘앤에프,61727,171800,174200,174800,169200,3300,1.96,590679,80637,-6946,18.13,https://finance.naver.com/item/board.naver?code=066970
2022-03-16,293490,카카오게임즈,58583,75200,74300,75300,73700,2100,2.87,618615,106931,43060,11.06,https://finance.naver.com/item/board.naver?code=293490
2022-03-16,68760,셀트리온제약,35639,97500,99000,99100,96500,500,0.52,123741,19045,-9790,7.53,https://finance.naver.com/item/board.naver?code=068760
2022-03-16,28300,HLB,34488,32350,31050,32400,30850,1100,3.52,820532,33280,41788,13.68,https://finance.naver.com/item/board.naver?code=028300
2022-03-16,112040,위메이드,31861,94900,95800,97000,91200,700,0.74,615694,-4391,27095,6.06,https://finance.naver.com/item/board.naver?code=112040
2022-03-16,58470,리노공업,28900,189600,181000,189800,180200,12900,7.3,52895,24847,2939,47.92,https://finance.naver.com/item/board.naver?code=058470
2022-03-16,35760,CJ ENM,28486,129900,122600,129900,122600,8300,6.83,104574,11771,37508,21.48,https://finance.naver.com/item/board.naver?code=035760
2022-03-16,278280,천보,27950,279500,274300,280400,273000,9500,3.52,72359,14582,14104,9.41,https://finance.naver.com/item/board.naver?code=278280
2022-03-16,253450,스튜디오드래곤,27463,91500,92200,92700,91100,600,-0.65,99714,-8228,13411,10.75,https://finance.naver.com/item/board.naver?code=253450
2022-03-16,96530,씨젠,27210,52100,50100,52800,50000,2400,4.83,735654,-6437,292300,15.55,https://finance.naver.com/item/board.naver?code=096530
2022-03-16,196170,알테오젠,25461,59700,59700,60000,57800,1400,2.4,253249,61827,-36861,11.8,https://finance.naver.com/item/board.naver?code=196170
2022-03-16,86520,에코프로,21218,88500,87100,89900,87100,3500,4.12,409895,16796,12474,8.47,https://finance.naver.com/item/board.naver?code=086520
2022-03-16,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,44.17,https://finance.naver.com/item/board.naver?code=048260
2022-03-16,108320,LX세미콘,20135,123800,122400,124600,121700,4000,3.34,182116,42257,-31120,34.57,https://finance.naver.com/item/board.naver?code=108320
2022-03-16,35900,JYP Ent.,18920,53300,53500,53900,51500,300,0.57,432244,9800,44436,23.84,https://finance.naver.com/item/board.naver?code=035900
2022-03-16,237690,에스티팜,18865,100300,97900,100800,96500,3300,3.4,58988,21117,2915,0.05,https://finance.naver.com/item/board.naver?code=237690
2022-03-16,41510,에스엠,18823,79200,80700,81300,76800,600,-0.75,687476,-25424,41221,15.36,https://finance.naver.com/item/board.naver?code=041510
2022-03-16,240810,원익IPS,17400,35450,35200,35650,34950,650,1.87,183097,8509,-10322,19.05,https://finance.naver.com/item/board.naver?code=240810
2022-03-16,357780,솔브레인,17245,221700,216200,222000,216200,9400,4.43,26945,8404,1891,27.54,https://finance.naver.com/item/board.naver?code=357780
2022-03-16,67160,아프리카TV,17139,149100,148100,150500,146000,3600,2.47,180869,23020,-29625,41.58,https://finance.naver.com/item/board.naver?code=067160
2022-03-16,145020,휴젤,16572,133800,132400,136200,131300,3700,2.84,92955,23978,-18353,69.68,https://finance.naver.com/item/board.naver?code=145020
2022-03-16,5290,동진쎄미켐,16555,32200,32250,32500,31750,750,2.38,532683,52018,-28730,7.68,https://finance.naver.com/item/board.naver?code=005290
2022-03-16,299900,위지윅스튜디오,16388,38350,37400,39250,37250,1950,5.36,544222,23654,73631,4.82,https://finance.naver.com/item/board.naver?code=299900
2022-03-16,222800,심텍,16182,50800,49600,51300,49000,2500,5.18,970152,118244,-23156,14.4,https://finance.naver.com/item/board.naver?code=222800
2022-03-16,34230,파라다이스,15369,16900,16900,16950,16500,300,1.81,833703,-74132,6632,4.8,https://finance.naver.com/item/board.naver?code=034230
2022-03-16,78340,컴투스,14835,115300,112400,117200,111900,5700,5.2,261552,15023,17308,11.2,https://finance.naver.com/item/board.naver?code=078340
2022-03-16,56190,에스에프에이,14184,39500,39550,39800,38850,100,0.25,74904,17935,-8321,15.22,https://finance.naver.com/item/board.naver?code=056190
2022-03-16,214150,클래시스,13992,21600,21300,21900,20500,550,2.61,899179,232297,-142352,4.96,https://finance.naver.com/item/board.naver?code=214150
2022-03-16,64760,티씨케이,13835,118500,117400,118600,116400,2300,1.98,20074,8213,481,68.24,https://finance.naver.com/item/board.naver?code=064760
2022-03-16,25900,동화기업,13515,66900,65300,67100,64200,3200,5.02,83971,-4979,23135,43.24,https://finance.naver.com/item/board.naver?code=025900
2022-03-16,140410,메지온,13280,149200,136000,157500,133600,18700,14.33,267112,1543,26693,14.5,https://finance.naver.com/item/board.naver?code=140410
2022-03-16,298380,에이비엘바이오,13173,27900,28400,28500,27600,450,-1.59,766266,-104189,-164662,4.03,https://finance.naver.com/item/board.naver?code=298380
2022-03-16,78600,대주전자재료,13019,84100,83400,84900,82200,2900,3.57,139474,10058,22791,12.52,https://finance.naver.com/item/board.naver?code=078600
2022-03-16,195940,HK이노엔,12862,44500,43500,45300,43500,1500,3.49,133373,7857,42150,3.26,https://finance.naver.com/item/board.naver?code=195940
2022-03-16,32500,케이엠더블유,12862,32300,31200,32500,31200,1750,5.73,247787,30946,54878,3.79,https://finance.naver.com/item/board.naver?code=032500
2022-03-16,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.25,https://finance.naver.com/item/board.naver?code=215600
2022-03-16,122870,와이지엔터테인먼트,12304,66700,68300,68300,64400,700,-1.04,399801,-4480,7644,7.76,https://finance.naver.com/item/board.naver?code=122870
2022-03-16,98460,고영,12255,17850,18100,18150,17450,200,1.13,184753,55165,-83986,63.94,https://finance.naver.com/item/board.naver?code=098460
2022-03-16,141080,레고켐바이오,12166,50200,50500,50600,48650,300,-0.59,286935,28614,-45220,8.2,https://finance.naver.com/item/board.naver?code=141080
2022-03-16,137400,피엔티,11666,51300,48650,51400,48400,3300,6.88,1017241,30472,202324,6.28,https://finance.naver.com/item/board.naver?code=137400
2022-03-16,48410,현대바이오,11642,30100,29900,30600,29100,1300,4.51,1611903,52635,41926,3.11,https://finance.naver.com/item/board.naver?code=048410
2022-03-16,144510,지씨셀,11597,73400,71100,73400,71100,3100,4.41,71139,17660,7348,7.17,https://finance.naver.com/item/board.naver?code=144510
2022-03-16,39030,이오테크닉스,11593,94100,92900,94100,91600,2700,2.95,49113,10804,-8330,15.66,https://finance.naver.com/item/board.naver?code=039030
2022-03-16,376300,디어유,11538,52500,53100,53700,50000,600,1.16,166132,-15095,-3159,0.85,https://finance.naver.com/item/board.naver?code=376300
2022-03-16,215200,메가스터디교육,11482,96800,91800,97500,90600,6300,6.96,220597,-19192,9133,31.62,https://finance.naver.com/item/board.naver?code=215200
2022-03-16,36930,주성엔지니어링,11411,23650,23200,23650,22350,1100,4.88,1437912,72499,-476582,14.31,https://finance.naver.com/item/board.naver?code=036930
2022-03-16,30190,NICE평가정보,11232,18500,18200,18550,18000,500,2.78,68241,36169,-23985,38.22,https://finance.naver.com/item/board.naver?code=030190
2022-03-17,91990,셀트리온헬스케어,112574,72600,70300,73900,70200,3300,4.76,1254447,205683,86446,16.53,https://finance.naver.com/item/board.naver?code=091990
2022-03-17,247540,에코프로비엠,82120,358300,358800,366400,350000,18900,5.57,313440,61362,-8186,12.7,https://finance.naver.com/item/board.naver?code=247540
2022-03-17,263750,펄어비스,67347,101700,100700,104300,100100,3400,3.46,552005,52006,122313,13.28,https://finance.naver.com/item/board.naver?code=263750
2022-03-17,66970,엘앤에프,66398,184800,179100,187800,177500,13000,7.57,1114036,307696,174427,18.12,https://finance.naver.com/item/board.naver?code=066970
2022-03-17,293490,카카오게임즈,60998,78300,76600,79300,75900,3100,4.12,1325139,207146,160368,11.15,https://finance.naver.com/item/board.naver?code=293490
2022-03-17,68760,셀트리온제약,38125,104300,99900,106000,99600,6800,6.97,386753,54841,89748,7.54,https://finance.naver.com/item/board.naver?code=068760
2022-03-17,28300,HLB,36301,34050,32800,34550,32350,1700,5.26,1152096,78861,136709,13.7,https://finance.naver.com/item/board.naver?code=028300
2022-03-17,112040,위메이드,33674,100300,97900,101000,97100,5400,5.69,760224,23918,150577,6.08,https://finance.naver.com/item/board.naver?code=112040
2022-03-17,278280,천보,30400,304000,288100,309500,287400,24500,8.77,195982,46400,58478,9.57,https://finance.naver.com/item/board.naver?code=278280
2022-03-17,58470,리노공업,28549,187300,190100,193000,186400,2300,-1.21,48987,4023,-15136,47.95,https://finance.naver.com/item/board.naver?code=058470
2022-03-17,35760,CJ ENM,28289,129000,131000,131000,128200,900,-0.69,71227,8778,-19591,21.65,https://finance.naver.com/item/board.naver?code=035760
2022-03-17,96530,씨젠,27732,53100,52600,53700,52200,1000,1.92,604712,16808,207921,16.12,https://finance.naver.com/item/board.naver?code=096530
2022-03-17,253450,스튜디오드래곤,26893,89600,92600,92600,89200,1900,-2.08,146089,-14194,5261,10.81,https://finance.naver.com/item/board.naver?code=253450
2022-03-17,196170,알테오젠,25972,60900,60300,62000,59800,1200,2.01,307826,68825,21488,11.69,https://finance.naver.com/item/board.naver?code=196170
2022-03-17,86520,에코프로,21890,91300,92300,94200,91000,2800,3.16,540399,18477,-10654,8.53,https://finance.naver.com/item/board.naver?code=086520
2022-03-17,108320,LX세미콘,21046,129400,127600,131800,127500,5600,4.52,318562,76648,2226,34.29,https://finance.naver.com/item/board.naver?code=108320
2022-03-17,237690,에스티팜,20934,111300,101700,112700,101600,11000,10.97,414581,48403,-25183,0.19,https://finance.naver.com/item/board.naver?code=237690
2022-03-17,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,44.18,https://finance.naver.com/item/board.naver?code=048260
2022-03-17,35900,JYP Ent.,18601,52400,54000,54000,51500,900,-1.69,609876,-17133,-8714,23.97,https://finance.naver.com/item/board.naver?code=035900
